variable,target,cohens_d
XWE-GloVe_61,ideology,-0.0383
XWE-GloVe_62,ideology,-0.0457
XWE-GloVe_63,ideology,0.0246
XWE-GloVe_64,ideology,-0.0782
XWE-GloVe_65,ideology,-0.0952
XWE-GloVe_66,ideology,-0.0378
XWE-GloVe_67,ideology,0.1609
XWE-GloVe_68,ideology,-0.1692
XWE-GloVe_69,ideology,-0.1003
XWE-GloVe_70,ideology,0.0331
XWE-GloVe_71,ideology,-0.0876
XWE-GloVe_72,ideology,-0.0983
XWE-GloVe_73,ideology,0.0671
XWE-GloVe_74,ideology,-0.0175
XWE-GloVe_75,ideology,-0.1806
XWE-GloVe_76,ideology,0.0265
XWE-GloVe_77,ideology,-0.0876
XWE-GloVe_78,ideology,0.1188
XWE-GloVe_79,ideology,-0.0203
XWE-GloVe_80,ideology,0.0125
XWE-GloVe_81,ideology,0.0104
XWE-GloVe_82,ideology,-0.0647
XWE-GloVe_83,ideology,-0.0393
XWE-GloVe_84,ideology,0.0785
XWE-GloVe_85,ideology,0.009
XWE-GloVe_86,ideology,-0.0453
XWE-GloVe_87,ideology,0.02
XWE-GloVe_88,ideology,-0.033
XWE-GloVe_89,ideology,0.0586
XWE-GloVe_90,ideology,0.1148
